InvoiceDate,AvgNetFare,TotalNetFare
2018-04-01,18090.0,54270.0
2018-04-02,18090.0,0.0
2018-04-03,18090.0,0.0
2018-04-04,18090.0,0.0
2018-04-05,17610.333333333332,52831.0
2018-04-06,13392.166666666666,80353.0
2018-04-07,14550.5,116404.0
2018-04-08,13936.0,13936.0
2018-04-09,13936.0,0.0
2018-04-10,13936.0,0.0
2018-04-11,19201.0,19201.0
2018-04-12,19201.0,0.0
2018-04-13,14698.0,29396.0
2018-04-14,14698.0,0.0
2018-04-15,14698.0,0.0
2018-04-16,14698.0,0.0
2018-04-17,25861.0,25861.0
2018-04-18,25861.0,0.0
2018-04-19,11784.0,47136.0
2018-04-20,11784.0,0.0
2018-04-21,11784.0,0.0
2018-04-22,7352.0,7352.0
2018-04-23,18845.333333333332,56536.0
2018-04-24,18845.333333333332,0.0
2018-04-25,13959.8,69799.0
2018-04-26,10676.0,32028.0
2018-04-27,9322.285714285714,65256.0
2018-04-28,13904.75,55619.0
2018-04-29,13904.75,0.0
2018-04-30,20026.714285714286,140187.0
2018-05-01,8323.333333333334,24970.0
2018-05-02,26209.0,78627.0
2018-05-03,19532.0,19532.0
2018-05-04,13246.57142857143,92726.0
2018-05-05,13246.57142857143,0.0
2018-05-06,19391.0,19391.0
2018-05-07,4700.0,4700.0
2018-05-08,7625.0,7625.0
2018-05-09,15456.666666666666,46370.0
2018-05-10,18834.0,37668.0
2018-05-11,17562.0,158058.0
2018-05-12,17562.0,0.0
2018-05-13,17562.0,0.0
2018-05-14,12024.0,12024.0
2018-05-15,7745.571428571428,54219.0
2018-05-16,14114.833333333334,84689.0
2018-05-17,22219.0,22219.0
2018-05-18,19938.0,19938.0
2018-05-19,19938.0,0.0
2018-05-20,19938.0,0.0
2018-05-21,19938.0,0.0
2018-05-22,19831.0,19831.0
2018-05-23,12580.166666666666,75481.0
2018-05-24,12942.0,12942.0
2018-05-25,14673.333333333334,44020.0
2018-05-26,14673.333333333334,0.0
2018-05-27,23673.0,23673.0
2018-05-28,10715.666666666666,32147.0
2018-05-29,24689.0,24689.0
2018-05-30,14927.0,14927.0
2018-05-31,14927.0,0.0
2018-06-01,7441.333333333333,22324.0
2018-06-02,17601.0,17601.0
2018-06-03,17601.0,0.0
2018-06-04,15787.5,63150.0
2018-06-05,16131.0,64524.0
2018-06-06,16131.0,0.0
2018-06-07,11743.0,11743.0
2018-06-08,11743.0,0.0
2018-06-09,9474.0,104214.0
2018-06-10,9474.0,0.0
2018-06-11,17786.25,71145.0
2018-06-12,19785.0,39570.0
2018-06-13,11892.0,11892.0
2018-06-14,3573.0,7146.0
2018-06-15,13665.0,27330.0
2018-06-16,19448.0,19448.0
2018-06-17,19448.0,0.0
2018-06-18,12557.666666666666,75346.0
2018-06-19,21473.0,21473.0
2018-06-20,8862.0,35448.0
2018-06-21,19824.0,39648.0
2018-06-22,17313.1,173131.0
2018-06-23,10834.4,54172.0
2018-06-24,10834.4,0.0
2018-06-25,10834.4,0.0
2018-06-26,23152.0,23152.0
2018-06-27,11379.4,56897.0
2018-06-28,13369.307692307691,173801.0
2018-06-29,12237.0,24474.0
2018-06-30,12780.6,127806.0
2018-07-01,12780.6,0.0
2018-07-02,12647.42857142857,88532.0
2018-07-03,12203.6,61018.0
2018-07-04,12203.6,0.0
2018-07-05,11710.916666666666,140531.0
2018-07-06,8992.0,26976.0
2018-07-07,14513.727272727272,159651.0
2018-07-08,10790.75,43163.0
2018-07-09,11518.666666666666,34556.0
2018-07-10,8132.6,81326.0
2018-07-11,2100.0,2100.0
2018-07-12,2100.0,0.0
2018-07-13,14996.5,59986.0
2018-07-14,14996.5,0.0
2018-07-15,7537.0,30148.0
2018-07-16,20222.666666666668,60668.0
2018-07-17,4522.0,13566.0
2018-07-18,11178.5,44714.0
2018-07-19,5713.666666666667,17141.0
2018-07-20,10902.6,54513.0
2018-07-21,11271.5,22543.0
2018-07-22,11271.5,0.0
2018-07-23,19821.666666666668,118930.0
2018-07-24,10469.142857142857,73284.0
2018-07-25,20988.0,41976.0
2018-07-26,19492.5,116955.0
2018-07-27,12795.625,102365.0
2018-07-28,8080.0,8080.0
2018-07-29,8080.0,0.0
2018-07-30,8080.0,0.0
2018-07-31,7731.0,15462.0
2018-08-01,19411.0,19411.0
2018-08-02,11443.733333333334,171656.0
2018-08-03,22094.0,44188.0
2018-08-04,19962.0,119772.0
2018-08-05,16661.5,133292.0
2018-08-06,20398.333333333332,61195.0
2018-08-07,9443.5,37774.0
2018-08-08,18961.0,18961.0
2018-08-09,8805.333333333334,26416.0
2018-08-10,10811.833333333334,64871.0
2018-08-11,10187.0,20374.0
2018-08-12,14259.714285714286,99818.0
2018-08-13,14965.285714285714,104757.0
2018-08-14,18160.0,54480.0
2018-08-15,14762.0,14762.0
2018-08-16,20764.0,41528.0
2018-08-17,4760.0,4760.0
2018-08-18,8215.5,16431.0
2018-08-19,8215.5,0.0
2018-08-20,11212.5,22425.0
2018-08-21,11212.5,0.0
2018-08-22,11212.5,0.0
2018-08-23,11212.5,0.0
2018-08-24,11212.5,0.0
2018-08-25,11212.5,0.0
2018-08-26,11212.5,0.0
2018-08-27,11212.5,0.0
2018-08-28,11212.5,0.0
2018-08-29,11212.5,0.0
2018-08-30,11212.5,0.0
2018-08-31,11212.5,0.0
2018-09-01,10182.0,20364.0
2018-09-02,16828.0,50484.0
2018-09-03,15817.0,47451.0
2018-09-04,20135.7,201357.0
2018-09-05,13361.5,26723.0
2018-09-06,17799.0,71196.0
2018-09-07,16397.636363636364,180374.0
2018-09-08,15519.6,77598.0
2018-09-09,16052.0,48156.0
2018-09-10,22436.285714285714,157054.0
2018-09-11,15098.75,60395.0
2018-09-12,15312.5,245000.0
2018-09-13,15312.5,0.0
2018-09-14,20646.666666666668,61940.0
2018-09-15,3175.0,3175.0
2018-09-16,15317.0,61268.0
2018-09-17,9906.666666666666,89160.0
2018-09-18,13196.448275862069,382697.0
2018-09-19,17175.75,206109.0
2018-09-20,19312.6,96563.0
2018-09-21,14831.411764705883,252134.0
2018-09-22,15976.42857142857,111835.0
2018-09-23,11251.75,90014.0
2018-09-24,18125.3125,290005.0
2018-09-25,17743.78947368421,337132.0
2018-09-26,10374.8,103748.0
2018-09-27,15584.0,187008.0
2018-09-28,17188.1875,275011.0
2018-09-29,11545.333333333334,103908.0
2018-09-30,26648.333333333332,159890.0
2018-10-01,19112.222222222223,172010.0
2018-10-02,19112.222222222223,0.0
2018-10-03,7722.076923076923,100387.0
2018-10-04,17410.85714285714,121876.0
2018-10-05,18252.135135135137,675329.0
2018-10-06,19899.571428571428,139297.0
2018-10-07,19899.571428571428,0.0
2018-10-08,16430.0,98580.0
2018-10-09,16213.4375,259415.0
2018-10-10,16415.666666666668,196988.0
2018-10-11,19438.909090909092,213828.0
2018-10-12,14708.857142857143,205924.0
2018-10-13,20091.25,160730.0
2018-10-14,12970.545454545454,142676.0
2018-10-15,11393.578947368422,216478.0
2018-10-16,15291.923076923076,198795.0
2018-10-17,13050.454545454546,143555.0
2018-10-18,8541.2,42706.0
2018-10-19,10509.0,21018.0
2018-10-20,13237.0,251503.0
2018-10-21,15830.454545454546,174135.0
2018-10-22,14515.666666666666,174188.0
2018-10-23,10752.666666666666,64516.0
2018-10-24,9087.111111111111,81784.0
2018-10-25,10898.56,272464.0
2018-10-26,18570.166666666668,111421.0
2018-10-27,19370.666666666668,348672.0
2018-10-28,14472.0,14472.0
2018-10-29,18778.85,375577.0
2018-10-30,13789.9,137899.0
2018-10-31,10206.066666666668,153091.0
2018-11-01,14854.333333333334,44563.0
2018-11-02,9975.8,49879.0
2018-11-03,6490.428571428572,45433.0
2018-11-04,6047.0,6047.0
2018-11-05,19545.5,39091.0
2018-11-06,19545.5,0.0
2018-11-07,13119.125,104953.0
2018-11-08,12136.933333333332,182054.0
2018-11-09,16171.692307692309,420464.0
2018-11-10,10284.25,82274.0
2018-11-11,16015.2,80076.0
2018-11-12,17124.75,68499.0
2018-11-13,17562.666666666668,263440.0
2018-11-14,16806.0,33612.0
2018-11-15,14242.411764705883,242121.0
2018-11-16,13244.842105263158,251652.0
2018-11-17,16189.0,64756.0
2018-11-18,16581.5,33163.0
2018-11-19,16581.5,0.0
2018-11-20,17405.0,174050.0
2018-11-21,14119.454545454546,155314.0
2018-11-22,11291.9,112919.0
2018-11-23,12663.181818181818,139295.0
2018-11-24,13843.75,55375.0
2018-11-25,8350.6,41753.0
2018-11-26,15564.380952380952,326852.0
2018-11-27,14851.1,148511.0
